followers_count,urls,created_at,text
166,[],Sat Apr 08 02:10:50 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
143,[],Sat Apr 08 02:03:17 +0000 2017,RT @dtunkelang: Nice to see @Google pursuing machine learning approaches that protect user privacy by decentralizing training data. https:/\xe2\x80\xa6
141,[],Sat Apr 08 01:59:44 +0000 2017,"a service called ""tl;dr"" that takes news articles &amp; w/ machine learning turns them into shorter summaries THEN recurses on itself until &lt;140"
135,[],Sat Apr 08 21:29:19 +0000 2017,"RT @Ronald_vanLoon: 60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more | #DataScience #Bookf\xe2\x80\xa6 "
120,[],Sat Apr 08 21:14:08 +0000 2017,RT @Ronald_vanLoon: Top 20 Recent Research Papers on Machine Learning and Deep Learning | #MachineLearning #MachineIntelligence #RT\xe2\x80\xa6 
120,[],Sat Apr 08 21:16:40 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
97,[],Sat Apr 08 01:14:00 +0000 2017,RT @draix: Con mucha alegr\xc3\xada presentamos nuestra primer colecci\xc3\xb3n de art\xc3\xadculos sobre Machine Learning en formato revista. Pr\xc3\xb3x\xe2\x80\xa6 
93,[],Sat Apr 08 02:10:52 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
88,[],Sat Apr 08 01:59:14 +0000 2017,RT @byronreese: 78 free lessons on artificial neural networks &amp; machine learning by Prof. Geoffrey Hinton in 2012. #ML https://t.co/E7dBwyi\xe2\x80\xa6
84,[],Sat Apr 08 21:13:17 +0000 2017,Starting Stanford Machine Learning MOOC by @AndrewYNg ! Let's see how far my engineering degree taught me https://t.co/oMFOVrRBcY
64,[],Sat Apr 08 21:19:16 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
63,[],Sat Apr 08 02:08:53 +0000 2017,RT @DeepLearn007: #AI as a job creator? How #machinelearning could change business\n#deeplearning #bigdata #Marketing #ML #DL #tech\xe2\x80\xa6 
57,[],Sat Apr 08 20:59:10 +0000 2017,"RT @brains9: Novo aplicativo da @AdobeBra, ainda em testes, utiliza intelig\xc3\xaancia artificial e machine learning para melhorar as\xe2\x80\xa6 "
54,[],Sat Apr 08 02:12:06 +0000 2017,"RT @coolgamesinc: This week, we're talking Cheetos, machine-learning algorithms, and a Burnout + Shadow of the Colossus hybrid game:  https\xe2\x80\xa6"
